Country,Meat consumption,ISO-code
Denmark,145.9,DNK
New Zealand,142.1,NZL
Luxembourg,141.7,LUX
Cyprus,131.3,CYP
United States of America,124.8,USA
Saint Lucia,124.1,LCA
The Bahamas,123.6,BHS
Spain,118.6,ESP
French Polynesia,112.2,PYF
Mongolia,108.8,MNG
Australia,108.2,AUS
Canada,108.1,CAN
Ireland,106.3,IRL
France,101.1,FRA
Hungary,100.7,HUN
Saint Kitts and Nevis,99.3,KNA
Uruguay,98.6,URY
Israel,97.1,ISR
Grenada,97,GRD
Austria,94.1,AUT
Portugal,91.1,PRT
Qatar,90.5,QAT
Italy,90.4,ITA
Netherlands,89.3,NLD
Barbados,88.7,BRB
Slovenia,88,SVN
Malta,86.9,MLT
Belgium,86.1,BEL
Iceland,84.8,ISL
Samoa,82.6,WSM
Brazil,82.4,BRA
Germany,82.1,DEU
Argentina,79.7,ARG
United Kingdom,79.6,GBR
Saint Vincent and the Grenadines,79.1,VCT
Greece,78.7,GRC
Poland,78.1,POL
FR Yugoslavia,77.6,
Czech Republic,77.3,CZE
New Caledonia,76.6,NCL
Sweden,76.1,SWE
Belize,74.7,BLZ
United Arab Emirates,74.4,ARE
Papua New Guinea,73,PNG
Switzerland,72.9,CHE
Singapore,71.1,SGP
Bahrain,70.7,BHR
Paraguay,70.3,PRY
Bulgaria,69.4,BGR
Estonia,67.4,EST
Finland,67.4,FIN
Slovakia,67.4,SVK
Dominica,67.1,DMA
Chile,66.4,CHL
Greenland,63.4,GRL
Lebanon,63.1,LBN
Norway,61.7,NOR
Kuwait,60.2,KWT
Belarus,58.6,BLR
Mexico,58.6,MEX
Trinidad and Tobago,57.8,TTO
Jamaica,56.8,JAM
Venezuela,56.6,VEN
Antigua and Barbuda,56,ATG
Panama,54.5,PAN
Romania,54.5,ROU
Guam,52.6,GUM
China,52.4,CHN
Seychelles,51.1,SYC
Russia,51,RUS
Malaysia,50.9,MYS
Bolivia,50,BOL
Croatia,49.9,HRV
Oman,49.8,OMN
Lithuania,49.5,LTU
South Korea,48,KOR
Gabon,46,GAB
Japan,45.9,JPN
Latvia,45.7,LVA
Ecuador,45,ECU
Kazakhstan,44.8,KAZ
Saudi Arabia,44.6,SAU
Turkmenistan,41.7,TKM
East Timor,41.3,TLS
Costa Rica,40.4,CRI
Suriname,40.3,SUR
Mauritius,39.6,MUS
Fiji,39.1,FJI
Kyrgyzstan,39,KGZ
South Africa,39,ZAF
Dominican Rep.,37.8,DOM
North Macedonia,35.4,MKD
Peru,34.5,PER
Namibia,34,NAM
Colombia,33.9,COL
Vanuatu,32.6,VUT
Ukraine,32.3,UKR
Cuba,32.2,CUB
Kiribati,32.1,KIR
Guyana,31.8,GUY
Philippines,31.1,PHL
Mauritania,29.9,MRT
Jordan,29.8,JOR
Libya,28.6,LBY
Vietnam,28.6,VNM
Central African Rep.,28,CAF
Thailand,27.9,THA
Armenia,27.7,ARM
Botswana,27.3,BWA
Cape Verde,26.3,CPV
Georgia,26,GEO
Tunisia,25.5,TUN
American Samoa,24.9,ASM
Honduras,24.7,HND
Guatemala,23.8,GTM
Iran,23.1,IRN
Moldova,22.7,MDA
Egypt,22.5,EGY
Bosnia and Herzegovina,21.4,BIH
El Salvador,21.4,SLV
Syria,21.2,SYR
Sudan,21,SDN
Uzbekistan,20.7,UZB
Morocco,20.6,MAR
Turkey,19.3,TUR
Angola,19,AGO
Mali,19,MLI
Algeria,18.3,DZA
Iraq,18.2,IRQ
Senegal,17.7,SEN
Madagascar,17.6,MDG
Afghanistan,17.3,AFG
Djibouti,17.1,DJI
Maldives,16.6,MDV
Benin,16.2,BEN
Azerbaijan,15.9,AZE
Lesotho,15.4,LSO
Haiti,15.3,HTI
Zimbabwe,15.2,ZWE
Laos,15,LAO
Nicaragua,14.9,NIC
Yemen,14.7,YEM
Cameroon,14.4,CMR
Chad,14.3,TCD
Kenya,14.3,KEN
Cambodia,13.9,KHM
Martinique,13.9,MTQ
Congo,13.3,COG
French Guiana,13.2,GUF
S. Sudan,13.1,SSD
Guinea,13,GIN
Guadeloupe,12.7,GLP
Pakistan,12.3,PAK
Zambia,11.9,ZMB
Uganda,11.7,UGA
Ivory Coast,11.3,CIV
Burkina Faso,11.2,BFA
Niger,11.2,NER
North Korea,10.8,PRK
Myanmar,10.7,MMR
Nepal,10,NPL
Tanzania,10,TZA
Ghana,9.9,GHA
Solomon Islands,9.7,SLB
Sao Tome and Principe,9.6,STP
Somalia,9.5,SOM
Tajikistan,8.7,TJK
Nigeria,8.6,NGA
Togo,8.5,TGO
Indonesia,8.3,IDN
Ethiopia,7.9,ETH
Liberia,7.9,LBR
Eritrea,7.7,ERI
Comoros,7.6,COM
Sri Lanka,6.6,LKA
Virgin Islands,6.6,VIR
Guinea,6.5,GIN
Sierra Leone,6.1,SLE
Mozambique,5.6,MOZ
India,5.2,IND
The Gambia,5.2,GMB
Malawi,5.1,MWI
Dem. Rep. Congo,4.8,COD
Rwanda,4.4,RWA
Burundi,3.5,BDI
Bangladesh,3.1,BGD
Bhutan,3,BTN
